difficulty,index_1,index_2,chunk_id,partime,has_warpzone,has_pacifier
1,0,0,3,4.800,0,0
1,0,1,5,11.766,0,0
1,0,2,6,5.033,0,0
1,0,3,9,10.166,0,0
1,0,4,10,13.599,0,0
1,0,5,12,15.649,0,0
1,0,6,19,17.899,0,0
1,0,7,31,10.566,0,0
1,0,8,38,13.249,0,0
1,0,9,53,8.133,0,0
1,0,10,54,9.000,0,0
2,1,0,7,15.649,0,0
2,1,1,8,16.249,0,0
2,1,2,13,7.433,0,0
2,1,3,14,15.533,0,0
2,1,4,16,9.816,0,0
2,1,5,17,11.916,0,0
2,1,6,18,4.817,0,0
2,1,7,21,15.983,0,1
2,1,8,29,4.400,0,0
2,1,9,42,12.300,0,0
2,1,10,45,9.716,0,0
2,1,11,67,9.800,0,0
3,2,0,11,10.483,0,0
3,2,1,15,18.899,0,0
3,2,2,20,12.633,0,0
3,2,3,22,8.683,0,0
3,2,4,24,15.016,0,0
3,2,5,27,9.283,0,0
3,2,6,28,7.800,0,0
3,2,7,30,13.616,1,0
3,2,8,39,21.283,0,1
3,2,9,44,7.533,0,0
3,2,10,60,19.316,0,1
3,2,11,64,15.483,0,1
3,2,12,68,13.416,0,1
4,3,0,4,9.766,0,0
4,3,1,23,21.166,0,0
4,3,2,25,22.616,0,0
4,3,3,26,12.400,0,0
4,3,4,32,14.166,0,0
4,3,5,35,4.717,0,0
4,3,6,37,15.433,1,0
4,3,7,43,4.766,0,0
4,3,8,46,23.866,0,0
4,3,9,50,8.383,0,0
4,3,10,52,17.599,0,1
4,3,11,59,29.082,0,1
4,3,12,61,19.133,0,1
5,4,0,49,10.233,1,0
5,4,1,51,8.983,0,0
5,4,2,55,15.416,0,0
5,4,3,58,15.216,0,0
5,4,4,62,14.633,0,0
5,4,5,65,11.150,0,0
5,4,6,70,10.600,0,0
6,5,0,33,22.182,0,0
6,5,1,34,10.400,0,0
6,5,2,40,18.516,0,0
6,5,3,41,9.933,0,0
6,5,4,69,19.599,1,0
6,5,5,71,14.766,0,0
7,6,0,36,15.016,0,1
7,6,1,47,3.567,0,0
7,6,2,48,21.099,0,0
7,6,3,56,20.816,0,0
7,6,4,57,19.699,0,1
7,6,5,63,26.832,1,0
7,6,6,66,7.633,0,0
8,7,0,2,11.750,0,0
